Length,Ratings,Review,label
lenfourteen,ratingone,"I have to clear cache/data and logoff and login to update news feed.
",info
leneight,ratingone,"My qwerty has glitches when typing comments/posts.
",info
lennineteen,ratingtwo,"I was so pleased with the update about a month ago until it started freezing and losing network connection!
",info
lenfive,ratingone,"Can't post from phone.
",info
lenfive,ratingone,"You cant delete posts either ???
",info
lentwentyseven,ratingone,"when I ""like"" someone's picture or status, it won't let me like it, I have to press several times to be able to ""like"" something.
",info
lentwentyeight,ratingone,"It almost never loads properly, usually losses the network connection, and worst of all, it has somehow managed to screw up the data connections for my other programs.
",info
lentwo,ratingone,"Network error?...
",info
lenthirteen,ratingone,"Hate the fact I can't swipe and delete comments please fix this
",info
lenthirteen,ratingtwo,"It won't let us change our cover photo for a new pic.
",info
lenthree,ratingone,"Force closes constantly!
",info
leneighteen,ratingone,"Won't upload my status, can't change my profile picture and it shows me network errors constantly.
",info
lennine,ratingone,"Won't even get into how slow it runs.
",info
lennine,ratingtwo,"Why can't I change my cover photo anymore????
",info
lensix,ratingone,"It wont load photos, profiles, comments.
",info
lenseven,ratingtwo,"It is laggy, even on a Nexus 4.
",info
lentwelve,ratingone,"Neither my own nor posts to other's status work any more.
",info
leneleven,ratingone,"It is just too easy to post errors from a phone.
",info
lennine,ratingone,"When you do bring it back, include edit also.
",info
leneight,ratingone,"Fix the black box that always says ""foreclose!""
",info
lenfour,ratingone,"Can't post statuses.
",info
lenseventeen,ratingtwo,"I am not getting my notifications,n this is a brand nu samsung admire from metro pcs
",info
lentwentyfive,ratingone,"Don't show have the pics can't see who is on chat and can't share some can now can't get on Facebook
",info
lentwelve,ratingfour,"I can't change my cover photo on my profile no more.
",info
lenseventeen,ratingone,"After the last update I'm getting a constant network error and photo comments are not loading
",info
leneight,ratingone,"It doesn't update properly and crash often.
",info
lennine,ratingone,"This new version takes waaaaay too much internal MB.
",info
lenthree,ratingone,"Slow to respond.
",info
lensix,ratingone,"crashes an takes ages to update
",info
lenfifteen,ratingone,"It was working great now it force closes every time I try to open it!!!!!
",info
lenten,ratingone,"I look at a loading screen more than anything else.
",info
lentwentytwo,ratingone,"The amount of likes somebody gets on a status update as I scroll down my news feed aren't up to date.
",info
lenthirteen,ratingone,"Slow, problems with slow laggy updates and failure to view photos,at times.
",info
lentwelve,ratingone,"I can't post comments or photos And photos doesn't load.
",info
lenthree,ratingone,"Especially posting picture.
",info
lentwo,ratingone,"Constant crashing.
",info
lenthree,ratingone,"Network connection issues ....
",info
lentwo,ratingone,"Network Error?
",info
lenfour,ratingfour,"slow but nice options :-):-):-):-):-)
",info
lensix,ratingone,"The news feed shown is old...
",info
lennine,ratingone,"cant even like an album from the news feed...
",info
lennineteen,ratingthree,"Facebook forces all the things you hate and disabled on the PC to reappear in this still-flaky app.
",info
lenseventeen,ratingthree,"The most famous Facebook stupidity of non-editable posts becomes glaringly obvious when using a touch-screen.
",info
leneight,ratingone,"Network errors, painfully slow loading on a 4G connection.
",info
lenthirteen,ratingtwo,"Also I can't delete unwanted comments off of my timeline like before.
",info
lenfourteen,ratingone,"Keeps crashing, ughhh come out with something that works for the love of God!
",info
lennineteen,ratingthree,"Hate how long it takes to load, and then get network errors when I am connected to my wifi...
",info
lennine,ratingone,"Plus it's extremely slow to load new feeds.
",info
lenthirtytwo,ratingthree,"And also relised there was a lot missing on the app like can't delete comments you make or other people make on your things and you can't edit comments etc.
",info
lensix,ratingone,"Cant copy abd paste from posts.
",info
lensix,ratingone,"Cant delete pists on my phone.
",info
lenten,ratingone,"I can not post a status update or share anything!
",info
leneleven,ratingone,"And when will the black screen when viewing images be fixed?
",info
lenfive,ratingone,"The app is extremely slow.
",info
lensix,ratingone,"New notifications are not updated immediately..
",info
leneight,ratingone,"Uninstsllimg updates and rootuninstalling doubled battery life overnight.
",info
leneleven,ratingone,"For the DROID X Freezes and force closes all the time!
",info
leneighteen,ratingthree,"It starts to download then when it goes to actually install I get a message saying invalid package.
",info
lenfive,ratingthree,"Slow, takes forever to load.
",info
lennine,ratingone,"News feed is jacked up, won't stay current.
",info
lenthirteen,ratingone,"Using my cnm tablet, its terrible it always force closes as always laggy.
",info
lensix,ratingtwo,"No longer receive pokes in notifications
",info
lentwentyfive,ratingtwo,"Since last update I haven't been able to see any pictures unless I click on them or go to the browser and its slow.
",info
lenthirteen,ratingone,"This is bullshit, the homepage wont even load it just say connection error.
",info
lennine,ratingfour,"Unable to download it showing error no 497 any solution
",info
lenthirteen,ratingtwo,"Taken off another star as I can't change my cover photo anymore.
",info
leneleven,ratingtwo,"And when I ""like"" a status it doesn't save it.
",info
lentwentynine,ratingthree,"Although my settings are set to new stories first, they are never in the correct time order until I go into settings and click on new stories first again
",info
leneighteen,ratingthree,"Overall, its a good app, but i have found that it keeps force closing, or just black screens ):
",info
leneight,ratingone,"Noy working this app in my device, why?
",info
lenfourteen,ratingone,"Everything takes ages to update and recent stories list is all over the place.
",info
lenthirteen,ratingtwo,"Will Not load or allow me to do anything on it please fix
",info
lenten,ratingone,"Takes forever to load the contents even with WiFi connection.
",info
lennine,ratingone,"And the App can NOT be uninstalled nor stopped.
",info
lennineteen,ratingtwo,"Please bring the little camera symbol back in the right bottom corner so I can update my timeline picture.
",info
lenseventeen,ratingone,"Can't even delete comments on it and you can't see my actions on my profile
",info
lenten,ratingone,"It closes all the time  and will not load pictures.
",info
lenseven,ratingfour,"dislike because of such a slow speed
",info
lenseven,ratingone,"Can't load anything on my phone.
",info
lennine,ratingone,"It just keep on showing the network error sign
",info
lentwo,ratingone,"Slow loading.
",info
lensix,ratingfour,"I can't post status why?
",info
lenthree,ratingone,"Cant delete post.
",info
lenseven,ratingone,"Slow, force close, pictures don't load
",info
lenfive,ratingone,"It freezes and never loads.
",info
leneleven,ratingone,"The amount of times it just wont load, even on wifi...
",info
lennineteen,ratingone,"Please sort facebook i have a Samsung cant do anything with the app sits buffering for hours loading nothing.
",info
leneight,ratingone,"Such as error uploading pics or viewing photos
",info
lenfifteen,ratingone,"I used to check in often but with this latest release it's simply impossible.
",info
lennineteen,ratingfour,"I'm not having super lags like everyone else, but I'd appreciate a tablet ui for tablet users.
",info
lenfive,ratingone,"4. Shuts my phone down randomly.
",info
lenfourteen,ratingone,"And after about 2 minutes anytime I like something it unlikes it and restarts itself.
",info
lenthirteen,ratingone,"This Facebook app keeps Force closing for no reason it's Absolutely Appalling.
",info
lenthree,ratingone,"Slow as hell
",info
lenfifteen,ratingone,"Also, I love how it freezes up my phone all the time (sarcasm there, too).
",info
lentwenty,ratingone,"Facebook is one of the most popular social networking sites but the app has always lagged way behind other apps.
",info
leneighteen,ratingone,"Half the time the app doesn't load or it says no network coverage but coverage is fine.
",info
lenfifteen,ratingone,"I need to press the back button like 8 times to get out of a picture.
",info
lentwentysix,ratingtwo,"This update is good but speed not so good and can't change cover photo also not able to delete our own comments from any pic
",info
lentwelve,ratingone,"GIVE US THE OPTION TO SAVE IMAGES THAT OTHER PAGES/PEOPLE SHARE!
",info
lenfive,ratingone,"Photos are not displaying correctly.
",info
lentwentyeight,ratingone,"When I put on my preferences the I want the recent stories not the top stories it doessnt take it and it always take the top stories ugghh!
",info
lensixteen,ratingtwo,"Glad I'm not the only one with the picture issue and the comments not deleting!!
",info
lentwentyone,ratingone,"When ever there's a picture I'm trying to see it never loads even on messenger please fix this problem
",info
lenthree,ratingone,"Cant upload pics %>_<%
",info
lennine,ratingone,"Every few mins I get the force close crap !!!
",info
lentwenty,ratingone,"But now my photos don't load, it doesn't update unless I do it and it freezes my phone..
",info
leneleven,ratingtwo,"Cant see photos in feed or messages, constant lag/not responding.
",info
lenfourteen,ratingtwo,"Seriously guys any way to make this file smaller takes up so much memory!!!!
",info
leneight,ratingone,"How to change profile photo using this app?
",info
lensix,ratingtwo,"Takes WAY too much internal memory.
",info
leneleven,ratingone,"I'm getting a network error every time i click post!
",info
leneighteen,ratingone,"Its very time consuming with you just spent a few minutes typing and your comment or status disappeares!
",info
leneleven,ratingfour,"App stops responding when I choose to upload pic on page!
",info
lennineteen,ratingone,"Only giving one star because before the update I couldn't see comments on photos but now I can.
",info
lenthirtynine,ratingfour,"First things first this app deserves a four don't complain about it not loading picture on your news feed and if you have a problem get off your lazy a$s and do it on fuck1n computer your welcome
",info
lenfourteen,ratingone,"I used the app once and it used 15% of my battery for the day.
",info
lentwentyone,ratingone,"Horrible, you guys finally got it working then again you guys update it and it cant even load statuses nor pictures >:(
",info
lenfourteen,ratingone,"Dont work most of the time and very limited on what you can do..
",info
lentwentysix,ratingone,"Why is all of a sudden i can't change my cover photo and it keeps telling me no connection or it takes forever to load.
",info
leneleven,ratingone,"I cant play facebook connect games unless i m on 3/4G network.
",info
lenten,ratingone,"now they took the ability to delete a comment away.
",info
lenfive,ratingtwo,"It freezes twice a day
",info
lenten,ratingone,"Won't work or refresh at all after last update -
",info
lenthirteen,ratingone,"Can't see pictures, can't update profile, the original was much better.
",info
lennine,ratingtwo,"Bring the Edit and Swipe to delete thing back......
",info
lenfifteen,ratingtwo,"Network error, loading speed got slow, some pictures dont show up and other bug issues...
",info
lenten,ratingone,"Also says error when trying to comment or update status.
",info
lenten,ratingtwo,"Seriously annoying with constant network errors and lengthy load times.
",info
lenfive,ratingthree,"It won't even load!
",info
lenfour,ratingone,"Takes forever to load....
",info
lenthirteen,ratingone,"its a no no id u just wana check ya status n go..
",info
lenfour,ratingone,"Many lag on screen....
",info
lenthirteen,ratingone,"Buggy, won't load, especially since there really are not too many features.
",info
leneleven,ratingone,"it sustains so much memory very poor older ws more betr
",info
lentwentyone,ratingone,"Also, if I select a notification to view, said notification won't load. It just locks up in a waiting cycle.
",info
lenthree,ratingone,"Constantly force closes.
",info
lentwelve,ratingone,"It wastes battery at night when charging and not even in use!
",info
leneleven,ratingone,"Constant ""network error"" messages when I have a great wifi connection.
",info
lenseven,ratingone,"Can't post comments or like anything...
",info
lentwelve,ratingone,"Freezes my phone and doesn't allow me to change my cover
",info
lentwentyfive,ratingtwo,"There is no option to change ur cover photo, photos don't show up in the newsfeed without clicking on them, and its really slow.
",info
lentwentyfour,ratingtwo,"Also, seems to be building up way faster in MB and is killing my battery considerable if I don't clear the cache everyday.
",info
lenthree,ratingone,"Very slow & crashes.
",info
lenseventeen,ratingthree,"When I enter a picture, it takes 5 or 6 goes of the back button to leave the picture.
",info
lentwo,ratingone,"Freezes constantly.
",info
lenthirtysix,ratingthree,"Love being able to keep in touch with friends and family, but could be much better if we could actually communicate without having an ""error"" screen pop up, not allowing you to leave comments or updates.
",info
lenten,ratingone,"I cant upload my pictures or posts half the time..
",info
lenthirteen,ratingone,"and now the pix of mine and my friends won't even load...
",info
leneight,ratingone,"I cant able to change a cover photo
",info
lenthirty,ratingthree,"I like this app but when I view pictures and once I go back the pic doesn't go away until I've hit the back button a few times...
",info
lentwenty,ratingfour,"To all the other reviewers, the app will only work right if you clear up some memory on your device!
",info
lensix,ratingone,"I cant change my cover photo!!
",info
lennine,ratingone,"It won't let you like, post, or message.
",info
lentwelve,ratingone,"The update has resulted in me being unable to post status updates.
",info
lensix,ratingthree,"freezes everytime i open a pic .....
",info
lenfortyone,ratingthree,"This is a good app but I needs the feature to be able to move to the SD card because my phone only has a limited amount of room and 20+ mb hurts please add the feature to move to SD card.
",info
lennineteen,ratingone,"If I get a facebook notification and click it, facebook app opens and sits there on the load screen.
",info
lenfive,ratingone,"Freezes and doesn't refresh.
",info
lenfive,ratingone,"Photos don't load right.
",info
lenfifteen,ratingone,"I can only see few posts on my newsfeed then it won't load anymore.
",info
lenfifteen,ratingone,"Posts I remove or pictures I remove are still on my newsfeed are there permanently.
",info
leneight,ratingone,"Still takes forever to load if at all.
",info
lenseven,ratingfour,"Doesnt work for changing the cover photos....
",info
lentwelve,ratingone,"There is no time line cover photo botton to change your cover -.-
",info
lensix,ratingfour,"no option for update cover photo
",info
lenfour,ratingone,"constantly stops and pauses.
",info
lentwentyseven,ratingthree,"The first attempt at uploading photos always freezes, and the only way to get rid of it from the drop down menu is to restart the phone
",info
leneight,ratingtwo,"Then I get network errors every other day!
",info
lenfive,ratingfour,"Cover photo cannot be changed.
",info
lenten,ratingone,"IT FREEZES, it keeps trying to connect to the server.
",info
leneighteen,ratingthree,"Frustrating how it shows I'm in another city/town when I post not where I actually am.
",info
lennine,ratingfour,"It still doesn't sync high quality contact photos.
",info
lenten,ratingfour,"It shows persons name but not photo or profile picture.
",info
lenseventeen,ratingtwo,"I have a Samsung Infuse and this app is the only one that freezes up or crashes.
",info
lennine,ratingone,"Takes up way too much of my phone storage!
",info
leneleven,ratingone,"And as I scroll down, it doesn't load more storys.
",info
lenfive,ratingfour,"Please add ""copy"" and ""paste""
",info
leneight,ratingone,"This app doesn't even install the update...
",info
lentwentyeight,ratingfour,"cant change my cover pic still need a way to share events and also a way to download pics the way u can on friendcaster would be nice
",info
lentwelve,ratingone,"Massive app,  half time doesn't load properly even when on wifi.
",info
lenfour,ratingone,"Needs some serious liposuction!
",info
lenfive,ratingthree,"Else, the reliability is spotty.
",info
lenseventeen,ratingtwo,"But since its updated I can't view any photos or see them in my news feed.
",info
lentwentyseven,ratingtwo,"New update keeps force closing and i cant even get to the news feed it goes blue then black and bak to my home page fix this!
",info
lenseven,ratingone,"Please make option move to sd card ...
",info
lentwelve,ratingone,"Im Continuesly pestered with requests to search my phone book for friends.
",info
lentwentyeight,ratingone,"For the love of everything that's called technology, make your app smaller cause I can't afford 30Mb of my internal memory to be used by the app.
",info
lenthree,ratingtwo,"Slow loading everything.
",info
lentwelve,ratingone,"Since da f last update is crashin, force closes, slow loading content!
",info
lentwelve,ratingfour,"Since the last update everytime i open a picture the application crashes!
",info
lenfifteen,ratingthree,"Update before last my pics stopped showing in my news feed on my samsung galaxy !
",info
lentwelve,ratingtwo,"Has been force closing a lot recently, not loading pictures or comments...
",info
lenten,ratingfour,"But haven't been able to upload photos for days.
",info
lenfive,ratingfour,"Says remote computer is offline.
",info
lenseventeen,ratingone,"It freezes a lot it doesnt load it keeps on saying ""no internet connection "" and basicly sucks .
",info
lenseven,ratingthree,"Pl ad the setting of changing languages.
",info
lennine,ratingfour,"Gud but after update it taking so much space
",info
leneighteen,ratingone,"I hate that I have to relaunch the app because it crashes on me after those ten minutes..
",info
lenten,ratingtwo,"Please optimize to reduce ram usage. May use up to 70mb.
",info
leneleven,ratingone,"Every time I open BookFace it takes forever then it crashes.
",info
lentwo,ratingone,"Super slow.
",info
leneight,ratingtwo,"I updated today and fb no longer works!!
",info
lenten,ratingthree,"It keep blocking me to see old steam and post
",info
lenten,ratingone,"getting tired of jumping thru hoops to get to fb.
",info
lenseven,ratingtwo,"Keeps saying network error or no connection.
",info
lennine,ratingone,"But the screen seems to be a little jumpy.
",info
leneight,ratingone,"It freezes my phone and it runs slow!
",info
lenthirteen,ratingone,"Can't see any pics, profile pics, wall posts pics, etc. Please fix!
",info
lenthirtyone,ratingtwo,"When I'm commenting (right in the middle of me typing!) The screen scrolls to the top of the page. Everytime! and not just once, but several times in one comment.
",info
lenfive,ratingtwo,"apps keep showing network error.
",info
lenseven,ratingone,"Why I can't delete the comment? :|
",info
lennineteen,ratingone,"Why doesn't this work plz fix i can't play game cause i can't connect to Facebook
",info
lentwentythree,ratingone,"If FB didn't need internet to work, it would be great but since it has to have internet the app is junk.
",info
lenfourteen,ratingone,"Now pictures won't load on my newsfeed and I continuously get ""network error"".
",info
lenfive,ratingone,"Pls fix the back button.
",info
lennine,ratingtwo,"and then that network error thg jst kills me
",info
lenseven,ratingone,"Network errors on galaxy s3 with jelly bean.
",info
lenfourteen,ratingfour,"We have to use pc or browser everytime to download photos of our dearones .
",info
lenfifteen,ratingone,"Even with wofi connevtikns, the app freezes and hangs alot when i click on pictures.
",info
lenfive,ratingone,"Comments don't show up.
",info
lenthirtyone,ratingone,"Struggles to load everything & just endlessly spins, newsfeed, comments, who likes,etc. notifications on things I want to follow stop on their own & never let me know someone liked or commented.
",info
leneighteen,ratingtwo,"i cant post anything for the pass couple of days. i reinstalled and still face the same problem
",info
lentwentyfour,ratingfour,"After New update, I can't seem to go back wherever I press back button after enlarging a photo. Have to press multiple time.
",info
lenthree,ratingone,"stays loading forever
",info
lenfifteen,ratingone,"Could ya tell me why my phone keep cut off when I be on Facebook
",info
lenfifteen,ratingtwo,"takes a lot to of time for pictures to come under and the sometimes freezes.
",info
lennine,ratingone,"Mainly because the page doesn't load at all.
",info
lenseven,ratingone,"I can't even update my status.
",info
lenfour,ratingone,"Why have auto update!
",info
lensix,ratingthree,"Longer loading times but more advanced
",info
lensix,ratingone,"Horrible update everything freezes not happy.
",info
lenfive,ratingone,"Very very slow to update.
",info
lensix,ratingone,"My FB won't even load.
",info
lentwentyone,ratingone,"Everytime I log into FB all of my pictures and friends posts and faces are completely grey and won't load.
",info
leneight,ratingone,"I can't post any comments or posts.
",info
leneleven,ratingthree,"Works good on 3g or wifi but slows down very much on 2g.
",info
lenseven,ratingtwo,"Can not update status using this app.
",info
lenthirteen,ratingtwo,"Never wants to refresh, have to keep closing app and opening back up.
",info
lentwentyone,ratingone,"My daughter has a version that only takes a third if the memory but can't locate it in app store.
",info
lenseventeen,ratingone,"Only can find fb msgr but does not give news feed or profile access like hers does!
",info
leneleven,ratingone,"Long time no update,doesn't work or work very slow
",info
lenseven,ratingtwo,"Screen scrolls itself as new posts appear .
",info
leneighteen,ratingone,"Whn it says u comment u go to look and make sure it posted and its not there!
",info
lenfive,ratingone,"Cant change my profile picture.
",info
leneighteen,ratingtwo,"Now it is slow,reboots me for no reason,force closes all the time,&always saying network error.
",info
lenthirtyone,ratingone,"Network error, photos won't upload, i can't delete comments, the news feed shows just what it wants, force close (it never happen' to me before with the other versions).
",info
lentwentyone,ratingone,"And when I leave comments and i press my thumbs at the any empty spaces, than the comments are completely gone!!
",info
lenthree,ratingtwo,"Issues viewing photos.
",info
lentwo,ratingtwo,"Random shutdown.
",info
lentwentyfive,ratingtwo,"can't log in for two days idk whats the problem but it needs to be fixed asap for me to rate anything near 5 stars
",info
lenfive,ratingfour,"Just noting my own wall.
",info
lenfifteen,ratingtwo,"Even the notifications don't update as often even thought it is set to 30min refreshing.
",info
lenfour,ratingone,"News feed wont load.
",info
lenthree,ratingone,"Cant update status.
",info
lenfour,ratingone,"Picture dont show up.
",info
leneighteen,ratingone,"Add the ""near city, state"" to the status and make it where we can change the cover picture.
",info
lenten,ratingtwo,"I can't delete comments with this f**king update.
",info
lenseventeen,ratingtwo,"The content I am getting is older than the content that displayed just a few hours ago.
",info
lenten,ratingthree,"It only shows notification from one or two people only.
",info
lentwelve,ratingfour,"It works OK but sometimes laags and hangs but OK its usable.
",info
lentwentyone,ratingone,"Does anyone know how i can get a better update of facebook for my android, this one is horrible,keep stopping !
",info
lensixtyseven,ratingone,"Force close alot, Super slow, Can't change cover pics, Can't delete or edit comments, Doesn't give you the choice to view most resent (which is aggravating reading the same post from the day before) and for those of us who doesn't have a whole lot of memory left on our Phone being able to save onto our SD CARD would be greatly appreciated!
",info
lenfourteen,ratingone,"Now, I can't even log in with this sorry excuse for an app.
",info
leneleven,ratingfour,"they use lot of phone memory for my mobile i.e 14mb
",info
lentwentyeight,ratingtwo,"force closes like every 15 mins; ca t change the cover pic, cant delete comments, photo loading takes forever, timeline/wall & message updates are random.sometimes posting old first!
",info
lenseven,ratingone,"Will not log in forecloses every time!
",info
leneleven,ratingtwo,"Please make it available to be download it on SD card
",info
lensixteen,ratingone,"Its amazing that after that many years,  photos on Facebook almost always hangs up on loading.
",info
lensix,ratingone,"The update occupied to much space.
",info
leneight,ratingthree,"Doesn't let me change cover photo , & freezes .
",info
lenfour,ratingfour,"Working slow HTC inspire 4g
",info
lenseven,ratingthree,"It keeps telling me log in failed.
",info
lenfour,ratingone,"Cannot connect using wifi!!
",info
leneleven,ratingone,"I have to disconnect for facebook and reconnect for everything else!
",info
lentwelve,ratingone,"The app takes ages to load else doesn't load at all.
",info
lenthirteen,ratingone,"Notifications for messages still pop up when turned off, it forgets the settings.
",info
lensixteen,ratingone,"I can't see any pics on facebook since this last upgrade and its runs slow.
",info
lenfiftyfive,ratingone,"This is the worst update for Facebook for the samsung galaxy 2 phone nothing works it freezes up always says it has a network error I switch to the fastest Facebook app which actually works somewhat at least you can post a status  and look things up during very many setting options fix this app ASAP
",info
lenseventeen,ratingthree,"Was tolerable on mobile phone but tablet UI sucks its as if they just stretched everything out.
",info
lenfourteen,ratingone,"Now pictures never upload and when i tried reinstalling the app the issue continued.
",info
leneleven,ratingtwo,"Since the upgrade it wont let me post comments or statuses.
",info
lenthree,ratingone,"newsfeed wong refresh!
",info
lennineteen,ratingone,"I also won't get a notification about receiving a message until 20 minutes after the person has sent it.
",info
lentwo,ratingthree,"Slow function.
",info
lenseven,ratingfour,"1/18/13::Edit:: Photos aren't loading at all.
",info
leneight,ratingone,"After downloading ""PACKET DATA UNAVAILABLE"" error is displayed.
",info
lentwenty,ratingone,"I can't access any groups, il getting message notifications to find out that its not a message but comments.
",info
lentwentyfour,ratingone,"I can post a status and the next time I go to post a status or a picture the old status shows up again.
",info
leneleven,ratingone,"Had new updates and got more problems keeps reloading loads slow.
",info
lentwenty,ratingtwo,"Every since I updated to the new version I continuously get network errors or the page just won't load.
",info
lentwelve,ratingfour,"Its good but it takes to long to refresh and to download
",info
lentwenty,ratingone,"Also, would be nice to have pictures load like they used to instead of very slowly or not at all.
",info
lentwentytwo,ratingone,"I can't get on, it won't let me add pics, won't refresh for news feeds, tells me network error.
",info
lentwenty,ratingone,"Too many crashing issue, everytime when i use it i have to tallrate the crash issue 5 to 6 times in 5 minutes
",info
lentwelve,ratingone,"It freezes all the time and kicks me out all the time.
",info
lenfourteen,ratingthree,"Very slow to update and I get the cannot retrieve notifications SSL handshake error
",info
leneighteen,ratingthree,"Comment glitch has been fixed,  but now photos and link thumbnails are not downloading in the Newsfeed view.
",info
leneighteen,ratingone,"Doesn't receive message notifications and uses WAY too much RAM to say it's not even working.
",info
lentwelve,ratingone,"Needs a lot of bug fixes although it freezes a lot on s3
",info
lenfourteen,ratingone,"I haven't been able to update my status for the last three updates.
",info
lenfive,ratingthree,"Goes d same for notification.
",info
lenten,ratingone,"And posts your status updates when it feels like it.
",info
leneleven,ratingone,"When I try to connect it shows processing all the times.
",info
lentwelve,ratingfour,"Im done reading tweets in twitter but facebook still loads the images.
",info
lennine,ratingthree,"It has no option to update my cover photo!
",info
lenseven,ratingone,"where is the change cover pic feature.
",info
lenfive,ratingone,"Cant change my cover pic.
",info
lenfourteen,ratingone,"I swear if i see network error or freakn FORCE CLOSE AGAIN IMA SCREAM!!!!
",info
leneleven,ratingone,"i canot post a new status righ now..wtf is this...
",info
lenseven,ratingtwo,"Can't view pictures on the timeline!
",info
lenfive,ratingtwo,"Won't Process my Likes.
",info
lenthirteen,ratingtwo,"I click Like and the page scrolls on it's own immediately after.
",info
lenfour,ratingfour,"Takes forever to load.
",info
leneighteen,ratingone,"Ever since i updated i cant see any pictures its making me mad hopefuly itll worj now reinstalling
",info
lensixteen,ratingone,"I have to go on then quit then go back on and then my notifications show...
",info
lensixteen,ratingone,"I try to view comments and statuses but a black bar pops up saying ""network error"".
",info
lenseven,ratingone,"'Network error' appears everytime since the update.
",info
lenfourteen,ratingone,"I click on Facebook and it just loads, and loads... and loads some more.
",info
lenfive,ratingtwo,"I also cant poke people.
",info
lensix,ratingone,"Force closes, takes forever to load..
",info
lentwentytwo,ratingone,"This app requires most of the energy from my battery on the nexus 4, sorry guys but it is not worth it -> uninstalled!
",info
lentwentythree,ratingone,"It'd be nice if I could actually update my status, check in some where, or like something and it actually do it!
",info
lenten,ratingfour,"Not good apps for android it is bring network error
",info
lenfour,ratingone,"Messages refuse to load.
",info
lentwentyfive,ratingone,"The app says it can write to an SD card, but it doesn't. The way it is now, it is NOT worth the space.
",info
lenthirteen,ratingthree,"I get network errors and I have to reload the program to correct.
",info
leneighteen,ratingtwo,"Need back the old feature of deleting comments also can't seem to post status updates most times...
",info
lenthirty,ratingthree,"It will work for some and then either bring up a blank page or the picture is out of focus with a timer going as if its getting the data.
",info
leneight,ratingone,"App will go for hour and not update.
",info
lenfour,ratingtwo,"Pictures don't upload
",info
lenfive,ratingone,"Force closes all the time...
",info
lenseven,ratingone,"I can't update my status anymore.
",info
lenfifteen,ratingone,"Many of my games can't progress until I connect to facebook really peeved off!!!!!!!
",info
lenfourteen,ratingfour,"The new instant uploading features is my favorite new feature but it uploads everything.
",info
lenthirtythree,ratingone,"Like that when you search for a new friend by name,  you can hit back and it takes you back to the previous list and doesn't make you start your search over.
",info
lenthirteen,ratingone,"I am starting having plm status twice all the times since last update.
",info
lenfourteen,ratingone,"Slowest yet, says network error often, regardless of connected or disconnected to Wi-Fi.
",info
lentwentytwo,ratingthree,"Takes up a lot more memory space than it should and most of the time, takes long to refresh the News Feed.
",info
lenthree,ratingone,"always force close!!!
",info
lenseven,ratingone,"hangs up with black screen, so slow..........
",info
lenthirtyseven,ratingone,"Most days pictures don't even load for me or just continues to load when I select anything and I'm sure it has nothing to do with my internet connection coz everything internet related still works!
",info
lenten,ratingone,"After I post a status, I can't see it!
",info
lenseven,ratingone,"Takes hours to update my news feed.
",info
lensixteen,ratingone,"I sometimes write a post and doesn't show on the news feed or my profile.
",info
lentwentysix,ratingone,"I don't know why I even waste my time with it anymore, it foreclose's and freezes my phone, I would say 90% of the time.
",info
leneight,ratingfour,"but tell me how to delete the comments...??
",info
lensix,ratingone,"Way slow n irritating even n s2
",info
leneleven,ratingone,"Trying to update this app but it always shows an error 503.
",info
lentwelve,ratingone,"My HTC HERO loads everything else super fast Facebook not so well
",info
lentwentyone,ratingthree,"Notifications and messages that are sent to me are realy slow, it takes about 2-3 minutes befero they appear on my phone
",info
lenfive,ratingone,"Doesn't show updated notifications.
",info
lenfifteen,ratingone,"The app fails to log in and now I cannot use Facebook on my phone.
",info
lennineteen,ratingone,"Everything i try to click on it tells me link expired or i don't have permission to view.
",info
leneight,ratingtwo,"The app doesn't integrate well with messenger.
",info
leneleven,ratingtwo,"It's slow to load, and notifications don't work properly.
",info
lenseven,ratingthree,"Can we speed the loading up please.
",info
lensix,ratingone,"Sucks ttm, takes forever to load.
",info
lenseventeen,ratingone,"You caused me to lose 20% of my numbers because they don't sync right with low memory.
",info
lentwelve,ratingone,"Bat it usually crashes without any reason and also starts to misbehave
",info
lentwentyfour,ratingone,"I cant get the full site anymore and i cant delete posts or comments if i want to this is terrible ready to uninstall
",info
lensixteen,ratingtwo,"Because everything I post, comments on statuses or pictures, it post my comment up to 30 times.
",info
lenten,ratingone,"So slow to load anything with this app now, terrible!
",info
lenseven,ratingone,"Still won't let me log in
",info
lentwelve,ratingtwo,"Can't remove friends from list and won't upload YouTube videos...
",info
lentwenty,ratingtwo,"Don't like the position of the ""Likes/Comment"" area. In this update it is right above the ""Like"" button.
",info
lentwentysix,ratingtwo,"Have hit ""Like"" many times when I was just trying to see the likes or comments on a status. Need to move it to another area
",info
leneleven,ratingfour,"Only downside is how long it takes to load a pic.
",info
lentwentyfour,ratingfour,"Its a great app love the updates it just it takes up all the space in my phone then my phone start acting up :(
",info
lenfive,ratingone,"Fails to load items properly!
",info
lensix,ratingfour,"Oh and, error 498.the past 3 days.
",info
lenseventeen,ratingone,"Almost every time I launch it, it freezes and I have to uninstall it and reinstall it.
",info
lentwentyeight,ratingthree,"When I close the app for a minute to check a text or do something else - Facebook seems to freeze and gives me a back screen upon returning.
",info
lentwelve,ratingthree,"All I can do to fix it is force close and reopen.
",info
lenseven,ratingone,"It doesn't even load Facebook anymore.
",info
lentwentyeight,ratingfour,"I would have given it 5 stars if all of the pictures would load when you clicked on them and not say ""cannot retrieve picture please try again later"".
",info
